age,age_onset,birthplace,filename,native_language,sex,speakerid,country,l2_acq
20,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,15.0
28,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,22.0
31,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,19.0
23,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,17.0
36,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,25.0
20,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,18.0
23,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,16.0
52,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,28.0
27,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,19.0
31,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,24.0
31,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,27.0
38,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,25.0
30,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,18.0
40,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,28.0
38,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,26.0
26,5.0,"cairo, egypt",arabic10,arabic,male,12,egypt,21.0
40,10.0,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,30.0
22,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,19.0
30,14.0,"monastir, tunisia",arabic11,arabic,female,13,tunisia,16.0
32,11.0,"baghdad, iraq",arabic12,arabic,male,14,iraq,21.0
47,11.0,"amman, jordan",arabic14,arabic,male,428,jordan,36.0
35,15.0,"settat, morocco",arabic17,arabic,male,512,morocco,20.0
43,18.0,"khouribga, morocco",arabic19,arabic,male,625,morocco,25.0
18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,15.5
36,12.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,24.0
46,30.0,"beirut, lebanon",arabic21,arabic,female,670,lebanon,16.0
42,13.0,"al mahalla, egypt",arabic23,arabic,male,927,egypt,29.0
40,7.0,"cairo, egypt",arabic24,arabic,male,970,egypt,33.0
38,5.0,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),33.0
43,14.0,"amman, jordan",arabic26,arabic,female,1012,jordan,29.0
70,10.0,"jerusalem, israel",arabic27,arabic,male,1013,israel,60.0
30,12.0,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,18.0
24,9.0,"doha, qatar",arabic3,arabic,male,17,qatar,15.0
47,12.0,"baghdad, iraq",arabic31,arabic,female,1181,iraq,35.0
42,12.0,"baghdad, iraq",arabic32,arabic,male,1203,iraq,30.0
28,11.0,"baghdad, iraq",arabic33,arabic,female,1204,iraq,17.0
34,6.0,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,28.0
56,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,40.0
36,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,30.0
22,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,17.0
25,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,18.0
29,8.0,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,21.0
29,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,22.0
32,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,20.0
28,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,15.0
39,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,23.0
29,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,17.0
26,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,18.0
36,17.0,"rabat, morocco",arabic53,arabic,male,1526,morocco,19.0
22,7.0,"baghdad, iraq",arabic54,arabic,male,1565,iraq,15.0
70,33.0,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,37.0
43,12.0,"ain defla, algeria",arabic56,arabic,male,1677,algeria,31.0
34,9.0,"baghdad, iraq",arabic58,arabic,male,1700,iraq,25.0
55,9.0,"irbid, jordan",arabic59,arabic,male,1702,jordan,46.0
60,14.0,"cairo, egypt",arabic60,arabic,male,1711,egypt,46.0
28,10.0,"bani walid, libya",arabic63,arabic,female,1769,libya,18.0
23,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,17.0
32,10.0,"samail, oman",arabic65,arabic,female,1778,oman,22.0
50,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,36.0
43,22.0,"nasriah, iraq",arabic67,arabic,male,1785,iraq,21.0
55,15.0,"kerma, sudan",arabic69,arabic,female,1810,sudan,40.0
47,16.0,"casablanca, morocco",arabic70,arabic,male,1827,morocco,31.0
47,7.0,"nazareth, israel",arabic73,arabic,female,1841,israel,40.0
26,2.0,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,24.0
25,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,21.0
19,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,16.0
42,12.0,"damascus, syria",arabic82,arabic,male,1917,syria,30.0
28,3.0,"cairo, egypt",arabic86,arabic,male,1964,egypt,25.0
49,10.0,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,39.0
19,4.0,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,15.0
35,19.0,"baghdad, iraq",arabic89,arabic,female,2022,iraq,16.0
28,4.0,"jerusalem, israel",arabic9,arabic,female,23,israel,24.0
57,12.0,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,45.0
36,10.0,"baghdad, iraq",arabic92,arabic,male,2087,iraq,26.0
27,10.0,"baghdad, iraq",arabic93,arabic,female,2112,iraq,17.0
24,9.0,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,15.0
31,10.0,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,21.0
19,4.0,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,15.0
19,4.0,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,15.0
18,3.0,"dhaka, bangladesh",bengali10,bengali,female,1009,bangladesh,15.0
34,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,30.5
25,4.0,"sylhet, bangladesh",bengali12,bengali,female,1682,bangladesh,21.0
33,10.0,"dhaka, bangladesh",bengali13,bengali,female,1825,bangladesh,23.0
26,4.0,"kolkata, india",bengali14,bengali,male,1973,india,22.0
46,8.0,"dhaka, bangladesh",bengali15,bengali,female,2004,bangladesh,38.0
24,6.0,"dhaka, bangladesh",bengali16,bengali,female,2073,bangladesh,18.0
25,2.0,"lusaka, zambia",bengali2,bengali,female,35,zambia,23.0
24,6.0,"chittagong, bangladesh",bengali4,bengali,male,37,bangladesh,18.0
40,5.0,"dhaka, bangladesh",bengali5,bengali,female,622,bangladesh,35.0
29,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,25.0
49,6.0,"mymensingh, bangladesh",bengali7,bengali,male,710,bangladesh,43.0
54,5.0,"noakhali, bangladesh",bengali8,bengali,male,709,bangladesh,49.0
61,12.0,"kolkata, india",bengali9,bengali,female,987,india,49.0
30,9.0,"sofia, bulgaria",bulgarian12,bulgarian,female,1446,bulgaria,21.0
46,30.0,"sofia, bulgaria",bulgarian14,bulgarian,male,1611,bulgaria,16.0
21,6.0,"kyustendil, bulgaria",bulgarian16,bulgarian,male,1880,bulgaria,15.0
31,9.0,"sofia, bulgaria",bulgarian17,bulgarian,female,1915,bulgaria,22.0
27,10.0,"sofia, bulgaria",bulgarian3,bulgarian,male,42,bulgaria,17.0
27,11.0,"ruse, bulgaria",bulgarian6,bulgarian,male,557,bulgaria,16.0
31,8.0,"sofia, bulgaria",bulgarian8,bulgarian,female,848,bulgaria,23.0
31,10.0,"ruse, bulgaria",bulgarian9,bulgarian,female,923,bulgaria,21.0
25,3.0,"xiamen, fujian, china",cantonese10,cantonese,female,505,china,22.0
22,3.0,"hong kong, china",cantonese11,cantonese,female,544,china,19.0
20,4.0,"macau, china",cantonese12,cantonese,female,602,china,16.0
21,3.0,"hong kong, china",cantonese13,cantonese,female,730,china,18.0
19,3.0,"hong kong, china",cantonese14,cantonese,female,742,china,16.0
31,12.0,"qingyuan, guangdong, china",cantonese15,cantonese,female,862,china,19.0
29,3.0,"hong kong, china",cantonese16,cantonese,female,874,china,26.0
26,3.0,"hong kong, china",cantonese17,cantonese,female,878,china,23.0
19,3.0,"hong kong, china",cantonese18,cantonese,male,885,china,16.0
28,7.0,"hong kong, china",cantonese19,cantonese,female,1247,china,21.0
18,3.0,"hong kong, china",cantonese20,cantonese,male,1480,china,15.0
30,3.0,"hong kong, china",cantonese22,cantonese,female,1974,china,27.0
33,6.0,"hong kong, china",cantonese23,cantonese,male,1975,china,27.0
22,6.0,"hong kong, china",cantonese3,cantonese,male,47,china,16.0
29,13.0,"fuzhou, fujian, china",cantonese4,cantonese,female,48,china,16.0
25,5.0,"hong kong, china",cantonese6,cantonese,male,462,china,20.0
31,4.0,"hong kong, china",cantonese7,cantonese,male,494,china,27.0
23,2.0,"hong kong, china",cantonese8,cantonese,female,498,china,21.0
22,7.0,"hong kong, china",cantonese9,cantonese,male,502,china,15.0
38,13.0,"nijmegen, netherlands",dutch1,dutch,male,57,netherlands,25.0
39,12.0,"essen, belgium",dutch10,dutch,male,913,belgium,27.0
41,14.0,"brugge, belgium",dutch11,dutch,male,929,belgium,27.0
36,10.0,"oosterbeek, netherlands",dutch12,dutch,male,956,netherlands,26.0
33,10.0,"zwolle, netherlands",dutch13,dutch,female,1003,netherlands,23.0
35,12.0,"zwolle, netherlands",dutch14,dutch,female,1004,netherlands,23.0
41,14.0,"amsterdam, netherlands",dutch2,dutch,male,58,netherlands,27.0
29,7.0,"ede, netherlands",dutch29,dutch,male,1300,netherlands,22.0
25,9.0,"dordrecht, netherlands",dutch40,dutch,male,1484,netherlands,16.0
41,13.0,"deventer, netherlands",dutch41,dutch,male,1517,netherlands,28.0
36,8.0,"schiedam, netherlands",dutch42,dutch,male,1551,netherlands,28.0
22,2.0,"sint niklaas, belgium",dutch45,dutch,male,1742,belgium,20.0
37,11.0,"gouda, netherlands",dutch47,dutch,female,2115,netherlands,26.0
54,13.0,"rotterdam, netherlands",dutch5,dutch,female,770,netherlands,41.0
46,10.0,"brussels, belgium",dutch6,dutch,female,847,belgium,36.0
68,10.0,"amsterdam, netherlands",dutch7,dutch,male,895,netherlands,58.0
35,12.0,"alphen aan de ryn, netherlands",dutch8,dutch,female,896,netherlands,23.0
68,12.0,"almelo, netherlands",dutch9,dutch,female,897,netherlands,56.0
45,10.0,"tehran, iran",farsi10,farsi,female,453,iran,35.0
32,4.0,"kabul, afghanistan",farsi11,farsi,female,1015,afghanistan,28.0
42,11.0,"kerman, iran",farsi12,farsi,male,1112,iran,31.0
37,12.0,"ghasreshirin, iran",farsi13,farsi,male,1378,iran,25.0
52,6.0,"bethesda, maryland, usa",farsi14,farsi,female,1572,usa,46.0
20,4.0,"tehran, iran",farsi15,farsi,male,1598,iran,16.0
54,38.0,"abadan, iran",farsi16,farsi,female,1623,iran,16.0
63,27.0,"tehran, iran",farsi19,farsi,female,1936,iran,36.0
34,18.0,"esfahan, iran",farsi2,farsi,female,169,iran,16.0
48,19.0,"mazare sharif, afghanistan",farsi20,farsi,female,1993,afghanistan,29.0
20,5.0,"kabul, afghanistan",farsi21,farsi,male,2025,afghanistan,15.0
20,5.0,"tehran, iran",farsi22,farsi,female,2037,iran,15.0
24,5.0,"shiraz, iran",farsi23,farsi,female,2063,iran,19.0
43,14.0,"tehran, iran",farsi5,farsi,male,172,iran,29.0
27,9.0,"tehran, iran",farsi6,farsi,male,173,iran,18.0
29,11.0,"tehran, iran",farsi7,farsi,male,174,iran,18.0
29,11.0,"tehran, iran",farsi8,farsi,female,175,iran,18.0
39,12.0,"tehran, iran",farsi9,farsi,male,176,iran,27.0
31,10.0,"bordeaux, france",french10,french,male,500,france,21.0
31,11.0,"limoges, france",french11,french,male,514,france,20.0
32,12.0,"sens, france",french15,french,male,633,france,20.0
39,14.0,"fribourg, switzerland",french17,french,male,683,switzerland,25.0
22,6.0,"washington, dc, usa",french18,french,male,741,usa,16.0
39,12.0,"grenoble, france",french19,french,male,755,france,27.0
78,16.0,"ghent, belgium",french22,french,female,822,belgium,62.0
76,16.0,"ghent, belgium",french23,french,female,823,belgium,60.0
47,13.0,"mostaganem, algeria",french24,french,male,832,algeria,34.0
27,11.0,"montreal, quebec, canada",french26,french,female,917,canada,16.0
38,12.0,"algiers, algeria",french27,french,female,932,algeria,26.0
35,11.0,"port-au-prince, haiti",french28,french,female,957,haiti,24.0
54,10.0,"cannes, france",french29,french,female,1021,france,44.0
37,12.0,"kinshasa, democratic republic of congo",french30,french,male,1023,democratic republic of congo,25.0
60,16.0,"kabinda, democratic republic of congo",french32,french,male,1080,democratic republic of congo,44.0
62,10.0,"montreal, quebec, canada",french33,french,male,1127,canada,52.0
56,16.0,"abidjan, ivory coast",french34,french,male,1160,ivory coast,40.0
27,10.0,"toulouse, france",french35,french,male,1189,france,17.0
32,10.0,"reims, france",french36,french,female,1304,france,22.0
42,14.0,"strasbourg, france",french37,french,male,1306,france,28.0
28,13.0,"pezenas, france",french39,french,male,1427,france,15.0
31,14.0,"abidjan, ivory coast",french4,french,female,182,ivory coast,17.0
44,13.5,"rouen, france",french40,french,female,1429,france,30.5
66,12.0,"landerneau, brittany, france",french47,french,female,1662,france,54.0
19,3.0,"douala, cameroon",french48,french,female,1701,cameroon,16.0
39,12.0,"paris, france",french49,french,male,1729,france,27.0
36,11.0,"douala, cameroon",french5,french,female,183,cameroon,25.0
67,14.0,"paris, france",french50,french,female,1751,france,53.0
56,11.0,"lisbon, portugal",french52,french,female,1813,portugal,45.0
25,8.0,"vichy, france",french54,french,female,1846,france,17.0
62,12.0,"settat, morocco",french55,french,female,1889,morocco,50.0
21,5.0,"douala, cameroon",french56,french,female,1898,cameroon,16.0
20,5.0,"paris, france",french59,french,female,1938,france,15.0
41,10.0,"rawalpindi, pakistan",french61,french,female,1998,pakistan,31.0
37,11.0,"ouagadougou, burkina faso",french63,french,male,2111,burkina faso,26.0
66,16.0,"ghent, belgium",french8,french,male,186,belgium,50.0
48,12.0,"dusseldorf, germany",german1,german,female,189,germany,36.0
29,14.0,"feldkirch, austria",german12,german,female,651,austria,15.0
54,13.0,"eschen, liechtenstein",german13,german,female,652,liechtenstein,41.0
30,10.0,"vienna, austria",german14,german,female,675,austria,20.0
35,11.0,"innsbruck, austria",german15,german,male,676,austria,24.0
31,11.0,"bremen, germany",german16,german,female,881,germany,20.0
53,10.0,"frankfurt, germany",german17,german,female,882,germany,43.0
29,6.0,"bad aussee, austria",german18,german,male,893,austria,23.0
29,12.0,"bemberg, germany",german2,german,female,190,germany,17.0
41,16.0,"chur, switzerland",german20,german,male,936,switzerland,25.0
27,10.0,"niedersachsen, germany",german24,german,male,1383,germany,17.0
77,24.0,"stuttgart, germany",german26,german,female,1452,germany,53.0
53,12.0,"coburg, germany",german29,german,female,1619,germany,41.0
32,8.0,"radstadt, austria",german30,german,female,1681,austria,24.0
29,12.0,"niedersachsen, germany",german32,german,female,1707,germany,17.0
39,10.0,"stuttgart, germany",german33,german,male,1877,germany,29.0
28,11.0,"bochum, germany",german34,german,male,1879,germany,17.0
51,11.0,"ingolstadt, germany",german35,german,female,1972,germany,40.0
47,12.0,"halle, germany",german5,german,male,193,germany,35.0
28,8.0,"vienna, austria",german6,german,male,194,austria,20.0
25,10.0,"bernburg, germany",german8,german,male,545,germany,15.0
27,2.0,"nagpur, maharashtra, india",hindi1,hindi,male,207,india,25.0
20,4.0,"chandigarh, india",hindi11,hindi,male,1437,india,16.0
25,4.0,"allahabad, india",hindi12,hindi,female,1440,india,21.0
43,13.0,"jaipur, india",hindi13,hindi,female,1633,india,30.0
53,12.0,"new delhi, india",hindi14,hindi,male,1697,india,41.0
23,1.0,"new delhi, india",hindi15,hindi,female,1794,india,22.0
25,5.0,"new delhi, india",hindi16,hindi,male,1966,india,20.0
47,3.0,"new delhi, india",hindi17,hindi,female,1988,india,44.0
21,5.0,"new delhi, india",hindi18,hindi,female,2125,india,16.0
31,3.0,"hyderabad, india",hindi2,hindi,male,587,india,28.0
42,5.0,"jalandhar, india",hindi3,hindi,male,593,india,37.0
64,10.0,"hubballi, karnataka, india",hindi5,hindi,female,845,india,54.0
27,4.0,"new delhi, india",hindi6,hindi,female,866,india,23.0
60,5.0,"allahabad, utter pardesh, india",hindi7,hindi,female,867,india,55.0
31,4.0,"durgapur, west bengal, india",hindi9,hindi,male,1017,india,27.0
48,12.0,"palermo, italy",italian10,italian,male,627,italy,36.0
38,14.0,"bellinzona, switzerland",italian12,italian,female,681,switzerland,24.0
48,15.0,"forli, italy",italian15,italian,male,839,italy,33.0
40,14.0,"mantua, italy",italian16,italian,male,942,italy,26.0
46,18.0,"caltanissetta, sicily, italy",italian2,italian,male,218,italy,28.0
32,15.0,"naples, italy",italian20,italian,male,1123,italy,17.0
42,20.0,"trento, italy",italian21,italian,male,1124,italy,22.0
23,6.0,"teramo, italy",italian22,italian,male,1175,italy,17.0
34,14.0,"cuneo, italy",italian23,italian,female,1177,italy,20.0
23,6.0,"milan, italy",italian24,italian,female,1406,italy,17.0
40,3.5,"wiesbaden, germany",italian25,italian,male,1322,germany,36.5
49,11.0,"siracusa, sicily, italy",italian26,italian,male,1489,italy,38.0
33,10.0,"milan, italy",italian27,italian,female,1543,italy,23.0
25,6.0,"rome, italy",italian28,italian,male,1679,italy,19.0
55,21.0,"florence, italy",italian3,italian,male,219,italy,34.0
59,23.0,"naples, italy",italian31,italian,female,1976,italy,36.0
49,14.0,"sardinia, italy",italian32,italian,male,1984,italy,35.0
78,50.0,"bitonto, italy",italian33,italian,female,2020,italy,28.0
47,11.0,"cremona, italy",italian4,italian,female,220,italy,36.0
52,25.0,"vicenza, veneto, italy",italian5,italian,male,440,italy,27.0
32,15.0,"naples, italy",italian6,italian,female,473,italy,17.0
24,8.0,"naples, italy",italian7,italian,male,553,italy,16.0
43,10.0,"bari, italy",italian8,italian,male,589,italy,33.0
29,13.0,"toyama, japan",japanese11,japanese,female,1046,japan,16.0
36,12.0,"tokyo, japan",japanese12,japanese,male,1365,japan,24.0
28,11.0,"gunma, japan",japanese13,japanese,male,1381,japan,17.0
37,12.0,"akashi, japan",japanese14,japanese,female,1382,japan,25.0
45,12.0,"osaka, japan",japanese15,japanese,male,1521,japan,33.0
25,3.0,"clark field, philippines",japanese16,japanese,female,1537,philippines,22.0
44,13.0,"nara, japan",japanese17,japanese,female,1610,japan,31.0
52,13.0,"kyoto, japan",japanese18,japanese,female,1626,japan,39.0
57,13.0,"naha, japan",japanese19,japanese,female,1684,japan,44.0
27,12.0,"tokyo, japan",japanese2,japanese,female,222,japan,15.0
53,13.0,"tokyo, japan",japanese21,japanese,female,1847,japan,40.0
69,12.0,"ashiya, japan",japanese22,japanese,female,1881,japan,57.0
24,5.0,"kawasaki, japan",japanese23,japanese,male,1942,japan,19.0
40,13.0,"tokyo, japan",japanese24,japanese,female,1948,japan,27.0
52,13.0,"kyoto, japan",japanese25,japanese,female,1987,japan,39.0
44,13.0,"yokosuka, japan",japanese26,japanese,female,1991,japan,31.0
49,12.0,"kofu, yamanashi prefecture, japan",japanese3,japanese,female,223,japan,37.0
30,10.0,"kawasaki, japan",japanese6,japanese,female,226,japan,20.0
29,13.0,"ui jong bu, south korea",korean1,korean,male,238,south korea,16.0
34,13.0,"kwangju, south korea",korean10,korean,male,483,south korea,21.0
50,12.0,"pusan, south korea",korean13,korean,female,759,south korea,38.0
30,13.0,"nonsan, south korea",korean16,korean,female,1006,south korea,17.0
25,7.0,"seoul, south korea",korean18,korean,male,1117,south korea,18.0
58,13.0,"inchon, south korea",korean20,korean,female,1126,south korea,45.0
49,12.0,"seoul, south korea",korean23,korean,female,1196,south korea,37.0
42,13.0,"seoul, south korea",korean24,korean,male,1370,south korea,29.0
34,12.0,"anseong, kyong gi, south korea",korean25,korean,female,1386,south korea,22.0
51,14.0,"haenam, south korea",korean27,korean,male,1624,south korea,37.0
62,13.0,"seoul, south korea",korean28,korean,female,1663,south korea,49.0
49,14.0,"seoul, south korea",korean30,korean,female,1690,south korea,35.0
30,13.0,"seongnam, south korea",korean33,korean,female,1722,south korea,17.0
48,12.0,"kwangju, south korea",korean35,korean,male,1815,south korea,36.0
51,12.0,"taegu, south korea",korean36,korean,female,1838,south korea,39.0
25,10.0,"inchon, south korea",korean38,korean,male,1848,south korea,15.0
55,14.0,"pusan, south korea",korean39,korean,male,1862,south korea,41.0
50,12.0,"seoul, south korea",korean41,korean,female,1946,south korea,38.0
26,3.0,"bayside, new york, usa",korean42,korean,male,1950,usa,23.0
49,14.0,"inchon, south korea",korean44,korean,male,1971,south korea,35.0
28,13.0,"inchon, south korea",korean45,korean,male,1982,south korea,15.0
22,7.0,"an yang, south korea",korean49,korean,female,2098,south korea,15.0
50,12.0,"seoul, south korea",korean5,korean,female,242,south korea,38.0
57,13.0,"taejon, south korea",korean50,korean,female,2133,south korea,44.0
40,12.0,"seoul, south korea",korean52,korean,male,2158,south korea,28.0
32,10.0,"seoul, south korea",korean7,korean,male,244,south korea,22.0
39,13.0,"seoul, south korea",korean8,korean,female,452,south korea,26.0
34,12.0,"taejon, south korea",korean9,korean,male,474,south korea,22.0
20,5.0,"skopje, macedonia",macedonian16,macedonian,female,1596,macedonia,15.0
24,6.0,"skopje, macedonia",macedonian17,macedonian,male,1597,macedonia,18.0
20,5.0,"skopje, macedonia",macedonian18,macedonian,female,1601,macedonia,15.0
